candynames,joy,despair,popularity
Butterfinger,3935,1054,78.8735217478453
100 Grand Bar,3265,1475,68.8818565400844
Anonymous brown globs that come in black and orange wrappers,523,4550,10.3094815690913
Any full-sized candy bar,4750,350,93.1372549019608
Black Jacks,319,4086,7.24177071509648
Bonkers,509,3720,12.035942303145
Bottle Caps,1967,2825,41.0475792988314
Box'o' Raisins,555,4421,11.153536977492
Brach products (not including candy corn),1070,3624,22.7950575202386
Bubble Gum,1334,3590,27.0917952883834
Cadbury Creme Eggs,2950,2050,59
Candy Corn,1984,2996,39.8393574297189
"Vials of pure high fructose corn syrup, for main-lining into your vein",781,4049,16.1697722567288
Candy that is clearly just the stuff given out for free at restaurants,224,4789,4.46838220626371
"Cash, or other forms of legal tender",4166,901,82.2182751134794
Chiclets,1341,3533,27.5133360689372
Caramellos,3131,1663,65.3108051731331
Snickers,4448,629,87.6107937758519
Dark Chocolate Hershey,3486,1520,69.6364362764682
Dental paraphenalia,339,4704,6.72218917311124
Dots,1800,3090,36.8098159509202
Fuzzy Peaches,1401,3332,29.600676103951
Generic Brand Acetaminophen,526,4333,10.8252726898539
Glow sticks,2527,2402,51.2680056806654
Broken glow stick,94,4934,1.86953062848051
Goo Goo Clusters,1189,3315,26.398756660746
Good N' Plenty,1284,3520,26.7277268942548
Gum from baseball cards,275,4665,5.5668016194332
Gummy Bears straight up,2823,2123,57.076425394258
Creepy Religious comics/Chick Tracts,489,4549,9.70623263199682
Healthy Fruit,928,3958,18.9930413426115
Heath Bar,3152,1752,64.2740619902121
Hershey's Kissables,2913,1856,61.0819878381212
Hershey's Milk Chocolate,3389,1516,69.0927624872579
Hugs (actual physical hugs),1090,3791,22.3314894488834
Jolly Rancher (bad flavor),635,4313,12.8334680679062
Jolly Ranchers (good flavor),3109,1875,62.3796147672552
Kale smoothie,290,4662,5.8562197092084
Kinder Happy Hippo,1324,3168,29.4746215494212
Kit Kat,4615,471,90.7392843098702
Hard Candy,1434,3311,30.2212855637513
Lapel Pins,450,4321,9.43198490882415
LemonHeads,2575,2276,53.0818387961245
Licorice,1399,3582,28.086729572375
Licorice (not black),2262,2615,46.3809719089604
Lindt Truffle,3847,1102,77.7328753283492
Lollipops,2195,2581,45.9589614740368
Mars,3243,1534,67.8877956876701
Mary Janes,1070,3379,24.0503483928973
Maynards,540,3659,12.8602048106692
Milk Duds,2970,1910,60.8606557377049
LaffyTaffy,2240,2539,46.8717304875497
Minibags of chips,1962,2784,41.3400758533502
JoyJoy (Mit Iodine),237,4017,5.57122708039492
Reggie Jackson Bar,709,3497,16.8568711364717
Pixy Stix,2315,2494,48.1389062175088
Nerds,3408,1552,68.7096774193548
Nestle Crunch,3984,951,80.7294832826748
Now'n'Laters,1754,2881,37.8425026968716
Pencils,565,4244,11.7488043252235
Milky Way,3874,1048,78.707842340512
Reese's Peanut Butter Cups,4638,480,90.6213364595545
Tolberone something or other,3786,1114,77.265306122449
Runts,2289,2427,48.5368956743003
Junior Mints,3230,1713,65.3449322273923
Senior Mints,628,3812,14.1441441441441
Mint Kisses,1716,2853,37.5574523965857
Mint Juleps,2202,2499,46.8410976388003
Mint Leaves,654,3910,14.3295354951797
Peanut M&M's,4089,954,81.0826888756692
Regular M&Ms,4067,920,81.5520352917586
Mint M&Ms,2358,2420,49.3511929677689
Ribbon candy,932,3699,20.1252429280933
Rolos,3799,1123,77.184071515644
Skittles,3571,1363,72.3753546817998
Smarties (American),2790,2127,56.7419158023185
Smarties (Commonwealth),1558,2854,35.312783318223
Chick-o-Sticks (we don't know what that is),838,3495,19.3399492268636
Spotted Dick,282,4205,6.28482282148429
Starburst,3513,1395,71.5770171149144
Swedish Fish,2779,2090,57.0753748202916
Sweetums,637,3591,15.0662251655629
Those odd marshmallow circus peanut things,777,4089,15.9679408138101
Three Musketeers,3615,1274,73.9415013295152
Peterson Brand Sidewalk Chalk,510,4000,11.3082039911308
Peanut Butter Bars,2294,2393,48.9438873479838
Peanut Butter Jars,1295,3317,28.0789245446661
Trail Mix,1152,3547,24.5158544371143
Twix,4442,574,88.5566188197767
Vicodin,2390,2371,50.1995379122033
White Bread,260,4463,5.50497565106924
Whole Wheat anything,425,4282,9.02910558742299
York Peppermint Patties,3444,1477,69.9857752489331
"Sea-salt flavored stuff, probably chocolate, since this is the 'it' flavor of the year",2741,2072,56.9499272802826
Necco Wafers,1319,3395,27.9804836656767
